OTU,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_99,avg_166,avg_365
4303858,0,0.6,0.5,1,0.6,0.2,0,0,0,0,0
320222,0.4,25.2,54.25,227.2,161.2,140.4,66,14.4,59.2,38.33333333,14.6
1143820,0,0.4,0,0,0.2,4.8,1,0.2,0.8,0.333333333,0.6
576785,0.4,4.2,4.5,12,5.4,97,22.33333333,9.4,30.8,0.333333333,17.6
4438613,20.8,0,0,0,589.6,5.6,1.666666667,138.8,36.8,0.666666667,23.6
791738,0,0,0,0,4,0,0,0.4,1.2,6.666666667,3.2
1048878,0.2,0,0,0,1.8,0,1.666666667,2.4,1.4,1.666666667,0.2
4472112,0.8,0,0,0,22.2,0,0,3.6,0.6,0,0.8
29704,0.2,5.6,0.75,1.6,21,15.4,844.6666667,477.4,453,540,312.2
4424705,0,0,0,0,1,0.4,0,0,0.4,0,0
322506,1.8,2.2,4.5,1.4,23.2,23.6,91,21.2,13.8,75.66666667,14.2
340208,1,0,1,0,5.2,2.8,15.33333333,1.6,3,18,2.4
1127804,0.2,0.8,2.75,1.2,0.6,1.6,6,1.2,0.6,0,0.8
819037,0,2.2,2.25,0.2,1.6,1.2,37,29.8,7.6,7.666666667,7.2
328095,0,0,0,0,0.2,0,0,0.6,1,0.333333333,1.2
317487,0,0.2,0,0,0,0,0,0,3,0.333333333,10.6
4388545,0,0,0,0,0,0,0,0.2,0.4,0,1
4381109,0,0.4,0,0,0,0.6,0,0,0.2,0,0
211171,0,1,13.5,0.2,0,4.2,0,0.8,7,0.666666667,4.4
142376,0,0,0,0,0,0,0,0,0.6,0.333333333,0.6
329664,0,2,0,0,0,0,0,0,11.2,14.66666667,31.6
798634,0,0,0,0,0,0.8,0.333333333,0.4,22.4,0,5
1145162,0,0.2,0,13.6,0,0.4,1.666666667,7,0.4,0,0.6
4395995,0,0,0,0,8.6,0,5.666666667,1.6,0.8,28,1.2
334067,0,4.6,0,2.2,0,0,0,0,0.4,0,0
291421,0.2,3492.8,0.75,145.2,1873.4,90.8,2212,37.2,0,0,0
2194872,0,0.2,0,0,0.2,0,0,0,0.4,0,0
2360704,5.8,67.2,3.5,45.6,5.4,7.4,94,9.2,0.6,0,0.6
1123672,0,0,0,0,0,0,0,0,0,0,0
663978,0,0,0,0,0,0,0,0,0,0,14.4
785696,0,0.4,0,0,0,0,0,0,0,0,44.8
558848,0,0,0,0,0.6,0.8,0,0,0,6,0
518694,0,0,0,0,0.2,0,0,0,0.6,0,0
219551,0,0,0,0,0,0,0,0,8,0,2
617099,0,0.2,25.5,2.6,32.4,165,62,2.8,5.2,13.66666667,4
151384,0,0,0,0.2,0,0.2,0.333333333,0,0,0.333333333,0
6367,0.6,0.2,0,969.2,700.8,0.2,225,472.2,0.4,113.6666667,0
149152,0,0,0,14.6,51.2,76,0,0,0,0.333333333,0
119663,0,0,0,0.4,0,5.8,0,2,0,0,0
575028,0,0,0,9.4,0,214.6,0,25.8,0,0,0.2
673343,0,0,2.5,0,0.2,1.2,0,0,0.6,0,0
135965,1,33.4,0,140.8,72.2,131.6,0.666666667,0.2,0.6,0.333333333,8.6
558264,0,0,0,2.8,4.4,13,2.333333333,0,0,0,0.8
196652,0,0,0,0,0,0,0,0,0,0,0
111824,0.4,0,0,0,0,24.2,0,0,0,0.333333333,0
541275,0,0,0,0,0,0.2,0,0.4,0,0,0
4333416,0,0,0,0,0,0,0,0,3.2,0,0
1140843,0,0.2,0,0,0,0,0,0,58.6,0,0
513989,0,0,0,0.8,2.4,0.6,0,0,0.2,0,0
788519,16.2,0,0,0,0,0,0,0,0,0,0
566578,0,0,0.25,0.2,5.8,3,0,0,7.8,0,2.6
330923,0,4.2,0.75,8.4,0,9.4,7,2.2,0,1,4.4
210201,0,0,0,0,0,0,0,0,0,0,0
4453355,0,0,0,0,0,0,0,0,0,0,26.6
218061,0,0,0,0,0,0,0,0,0.6,0,1.8
1060517,0.2,0,0,0,0,0,0,0,0,0,1.2
561647,0,0,0,0,0.2,0.2,0.333333333,0,12.2,0.333333333,2
4425629,0.2,0,2,0,0.6,0.4,0,0,6.4,3,0.2
4393701,11.4,2,15.75,0.2,1.2,1.8,1.333333333,0.8,6.8,54,13.6
104023,2.6,10.4,8.75,0,1.6,4.6,4,0.2,5.2,80.66666667,9.8
2279387,20,6.2,56.25,0,8,4,12.33333333,3.8,30.6,189.3333333,24
4334792,0,0,0,0,0,0,0,0,0.2,0.666666667,0
353532,975.4,316.2,1543.5,0.6,213.6,171,213.3333333,68.4,753.4,6032.333333,1076.2
4306200,0,0,0.25,0,0,0,0.666666667,0,153.2,0,11.4
1107335,0,0,3.75,0,0,0.2,0,0,0,0,0
360440,0,0,1569.25,61.4,0,361.6,33.66666667,90.4,0,3.666666667,0.2
4334053,0,0,52,4.4,0,14.2,1.333333333,5.8,0,0,0
4341099,0,0,0,6.8,0,4.2,0,2.4,0,0,0
1141678,0,0,0,11,0,5,0,6.2,0,0,0
710275,0,0.4,0,6.6,0,2.6,0,2.8,0,0,0.4
110404,0,1449.6,0,0,543,0.2,44,49.6,0,8.333333333,0
534204,0,4,0,0,7.8,0,0.333333333,0.6,0,0,0
352392,0,0,0,0,0,0,0,209.2,0,5.333333333,0
4477244,0,0,0,0,0,0,0,4,0,0,1
524618,0,0,0,0,0,0,0,1.6,2.2,0,9.4
171048,0,0,0,0,0.2,0,0,0,0,0,0
548754,0,0,0,0,0.2,37.6,1.666666667,30.2,0.4,563.6666667,92.2
223897,0.8,0,0.25,0,0,0,0,0.4,1,0,13.2
953084,0,0,0,0,0,0,0,0,0.6,0,0
1852120,0,0,0,0,0,0,0,0,22.4,0.333333333,1.4
741531,48.8,162,25.25,0,1693,49.8,644.3333333,202.8,649.8,139.6666667,280.8
546390,0,0.4,0,0,2.8,0,0.333333333,0.4,0.8,0.333333333,0
511469,0,0,0,6,0,0,0,0,0,0,0
1125608,0.2,0,0,7.4,0,0.8,0,0.2,3.8,1,1.4
4401530,0,0,0,0,4.2,0,0,0,1.4,0,0.2
241289,0.2,0,0,0,2.6,39,0,0.6,245.4,0,816.6
714231,0,0,0,0,0,0,0,0,0,0,0
1584967,0.8,0,0,0,1.2,4.8,0,0,0,0,3.4
569066,0,0,0,0,0,0,0,0,51.2,0,5.2
688934,4.4,2.4,1.75,0.4,0.8,1.8,0.666666667,0.6,0.4,0.333333333,0.8
513808,3784.2,499,783.5,483.4,171.8,156.2,72,12.6,163.8,67.66666667,1241
557138,0,0.2,2.5,0.6,0.4,0.6,0,0.2,1.2,1,0.2
206565,0,0.2,0,0,0,0,0,0.4,0.2,0,0.2
4422388,0.6,3,0.5,0,0,0.2,0,0,0,0,0
4451011,216.6,1415.8,616,4.8,0,0.4,0,1.6,1,2.666666667,8.2
138914,0.2,6.4,0.25,0,0,0,0,0,0,0,0
1109251,6.4,581.6,0.75,0,13.4,1,1.333333333,0.2,695.6,45.66666667,444.8
751973,0,2.4,0,0,0,0,0,0,2.8,0.666666667,3.8
1566691,0,4,0,0,0,0.2,0,0,0,0,3.4
2534141,0,4.8,0,0,0,0,0,0,0,0,2
961783,0.4,224,0,12,0.2,21.8,3,2.6,1.2,13.33333333,203.8
138840,0,0,0,0,0,0.4,0,0,0,0,2
646549,7,120.8,0,1,0,3.8,0.666666667,2.6,140,0.333333333,34.4
4349788,14.2,37.2,0.5,481.2,0.2,589.8,0.666666667,90.8,0,360.3333333,609
130002,0,0,0.5,0,0,0.8,0,0,0.2,0,1
589597,0.6,1.2,2.5,0,0.4,0.2,0,2.4,0.2,0.333333333,17.8
410048,0.2,0,0,2.2,0,2.4,0,0,0,1,2.4
141365,0,1.6,0,0,0,0,0,0,1.2,0,2.4
614182,1.6,0,0,0,0,0,0,0,0.2,0,0.8
2534143,1,167.8,1818,1421.6,215.6,588.2,161.6666667,350,438.4,145.3333333,311.6
4370747,0.6,1.2,0,33.8,0,5.8,0,2,0,9.666666667,16.8
821562,3,0.2,0.75,0.2,0.2,0.2,0,0,0.4,0,0.6
342096,1,0,0.75,0,0,0.2,0,0,0,0,0
516292,1.8,18.2,4,0,0,0.4,0,0.2,0.2,0,0.4
817734,0,13.2,0,0,2,2.6,0,5.2,2,0,0
333782,102.6,1044.2,501.5,18,309.8,224.2,3.333333333,239.2,134,0,509.6
541223,0,7.4,28,21.8,2,9.8,3.333333333,1.8,7.6,1,11
780555,13.2,96.2,102.25,3.4,26.6,15.8,1.333333333,25.4,13,0,24.8
448893,0,1.2,0,0,1,0.2,0,1.6,0,0,0.8
834280,0,0,0,40.8,0,0.4,0,1.2,0,0,0
1142199,0,0,0,1,37.2,15.8,0,0,0,0,0
536008,4.4,73,1.75,87.6,97,49.4,6.666666667,10,6.4,12,150.6
4319686,0,0.2,0,1.4,0.8,0.2,0.333333333,0,0,0,1.2
3330580,15.2,1103.2,47,1615.8,997.6,685,106.3333333,165.4,71.8,83.33333333,1933.4
316000,0,1,0.25,4.2,2.4,0.8,0,0.8,0,0.333333333,4.8
544847,1927,62.6,557.75,0,2.4,6.2,0,128.6,60.8,0.333333333,2
391286,1.4,0,0.25,0,0,0,0,0,0,0,0.2
1139932,47.6,0.6,14.5,0,0.6,0,0,4.4,3.6,0,0
4483911,3.4,0,0.25,0,0,0,0,0.6,0,0,0
252345,0,0,0,0,3.4,0,0.666666667,0.2,0.2,0,0.2
4008562,0,0,0.5,0,0,0,0.666666667,6.6,23.4,6,12
750541,0,5.2,0,0,0,0,1,0,0,0,0
1052930,0,0,0,0.6,0.8,0,0,0.6,0,0,8.6
541979,0,0,0.25,0,0.4,38.2,0,1.6,0,9,69.4
4316354,0,0,0,0,0,0,0,0,0,0,0
542155,0,0,0,0,0,0,0,0,0,0,0
338140,1.2,3,3.25,71,115.8,1501,319.3333333,51,1434.4,0.666666667,982.6
2317377,0,0,0,0,0,4.4,0,0,3.2,0,0.4
142419,0.4,10.4,0,0,0,4,0.666666667,0.4,75.4,22.33333333,7.4
276867,52.4,351.2,1.5,0,16,625.6,9,205,91.6,770.6666667,213.8
533787,0,0.4,0,0,0,0.2,0.333333333,0.6,0,0,0
108909,0,0.2,0,0,0,0.4,0,0,0.4,1,0.8
813216,0.6,0.2,0,0,0,0,0,0,0.2,0,0.6
541859,1477.6,620.6,426,3.6,161.6,1.8,0.333333333,1.2,917.2,47.33333333,1876.4
553648,230.2,99.6,37.75,0,23.2,8.2,0.333333333,5.8,113.6,34,185.6
4382017,1.6,0.2,0,0,0,0,0,0,0.4,0,1
279948,39.8,14.6,21,0,5,0,0.333333333,0,33,0,52.8
4386920,0.4,0,1.75,0,0.6,0,0,0,0.6,0,0
4435982,3.2,5.4,0,0.2,1.2,15.6,0,4,2.6,15.33333333,6.2
4399692,0,0,0,0,0,0,0,31.2,0,0,0
315994,0,0,0,0,0,0,0,0,0,0,0
147181,0,0,0,0,0,2.8,0,0,0,0,0
8028,0,0,0.5,0.4,1.8,0,0,4,0,1,0
22253,0,0,0,0,0,0,0,0,0,0,0.4
4344815,0,0,0,0,0,0,0,0,3.2,1.666666667,24.4
332557,3.6,1.4,1.75,0.8,3.2,8.4,3,0.6,6.2,0,115.2
350105,5.2,6.4,1.5,0,0.2,0.6,0,0,8.4,2,10
4386593,0,0,0,0,0,0,0,0,0.6,0,0
591223,0.2,0,0,12.6,23.2,1.8,7,0.2,8,0,0.8
4452146,0,0,0,1.6,8.8,0,3.333333333,0,8.2,8.333333333,4.6
818777,0,0,0,0,1,0.8,0,0.2,4.8,1,1.8
4451482,0,1.4,0,4.8,54.4,143.2,285.3333333,43.4,23.4,1,23.4
744835,0,0,0,0,0,0.2,3.666666667,0,17.6,0,0
137609,0,19,26.75,0.2,6,0.6,3.666666667,35.6,1.4,1.666666667,2.6
4380971,0,4.2,2.25,0.4,0.2,0,0,8.2,0,0,3.4
4337815,0,1,1.5,0,0.6,0,1,2.6,0.2,0,1
106334,0,73.8,70,5.4,25.6,3.4,22.66666667,127.6,5.8,12,19.2
540856,0,0,0.75,0,0,0,3.333333333,2.8,0.6,1.333333333,0
103132,0,1.2,0.5,0,0,0,0,0.8,0,0,0
