,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
329664,0.2,3.4,4.8,1.2,39.6,2.8,7.25,73,1.3
798634,0,0,0.8,0.2,1.8,0,0,0,0.7
1145162,0,0.2,0,0,0,0.2,0,0.2,0
4395995,0,5.6,0.6,0,1,0.6,0,1,1.6
334067,0,0,0,0,0,0.2,0,0,0
291421,0,0.2,0,0,0,0,1542.75,0,0.2
2194872,0,0,0,0.4,0,0,0,0,1.9
2360704,0,3,1,5.2,19.6,6.6,1.25,3.6,1.9
1123672,0,0,0,0,0,0,0,0,6.2
663978,0,0,0,0,0,0,0,0,0
785696,0,0,0,0,0,0,0,0,0
558848,0,0,0,0,0,0,0,0,0
518694,0,0,0,0,0,0,0,0,2.2
219551,0,0,0,0,0,0,0,0,0
617099,12.6,0.4,353.4,433.2,373.2,69.6,151.25,175.4,79.5
151384,0,0,0.6,0,0.2,0.4,2,0.4,0.7
6367,0,0,0.2,0,0,0.2,0.25,0,0.3
149152,0,0,0,0,0,0,0,0,0
119663,0,0,0,0,0,0,0,0,0
575028,0,0,0,3.2,0,0,0,0,0
673343,0.8,0,0,3.6,0,0,0,0,0
135965,0,0,0,2.4,28.6,0.2,18.5,0,0.4
558264,1.8,0,0,0,0,0,22,27.6,0.1
196652,2,28,0,0,0.4,0,0,0.4,0.5
111824,0,0,0,0.6,0.2,0,0.25,13.8,0.3
541275,2.6,0,0.4,0.6,13.8,0,0,6,0.6
4333416,7,0,0,0,0,0,0,0,0
1140843,29,0,2,0,3.8,0,0.25,0.6,1.1
513989,1.8,0,0,0,0,0,0,0,0
788519,0,0,0,0,0,0,0,0,0
566578,1.8,0,0,0.4,0,0,0,0,0.3
330923,0.2,0,0,4.6,0,3,0,0,0
210201,52.4,0,0,0,0,0,0,0,0
4453355,0,0,0,0,0,0,0,0,0.7
218061,0,0,0,0,0,0,0,0,1.6
1060517,50,0.6,0,0,0,0,0,0,0.5
561647,0,0,1.8,0,0,0,0,0,4.9
4425629,0.6,0,15,3.2,4,3.8,1.5,0.6,20.9
4393701,9.4,17,7.4,2.6,7.6,4,3,1.4,29.6
104023,5,66.2,10,2,20,23.2,6.25,6.2,28.5
2279387,22.2,52.8,43.8,10.6,28.2,27.4,15.25,9.2,95.1
4334792,0.2,0.8,0.2,0,0.6,0.4,0,0.2,0.3
353532,697.6,2111.2,1221.2,292.4,827.4,673.8,316,208.6,3251.3
4306200,0,0,0.2,0.4,0,0,0,6,344.7
1107335,0,0,0,0,0,0,0,0,0.1
360440,0,0,0,0,0,0,0,0,0
4334053,0,0,0,0,0,0,0,0,0
4341099,0.4,0,0,0,0,0,0,0,0
1141678,0,0,0,0,0,0,0,0,0
710275,0,0,0,0,0,0,0,0,0
110404,0,0,0,0.4,0,0,0.5,0,0
534204,0,0,0,0,0,0,0,0,0
352392,0,0,0,0,0,0,0,0,0
4477244,0,0,0,0,0,0,0,0,0
524618,0,0,0,0,0,5.4,0,1,0.2
171048,0,0,1.4,0,2.8,2.6,0,81.6,0
548754,0,0,0,0,1,0,4.25,0,0
223897,0,0,1.6,0.2,3.2,0.4,2,3.8,0.2
953084,4,0,0.2,0,0,0,0,0.2,0
1852120,634.4,0.2,1,0,0,0,0,0,0
741531,0,0.6,43.2,48.2,49,475.8,9,91,538.5
546390,0,0,0,0,0,0,0,0,0.5
511469,0,0,0,0,0,0,0.75,0,0
1125608,0,0,0,0.4,1,0.2,0.5,0.6,0.4
4401530,0,0,0,0,0,0,2.75,0,0.9
241289,0.6,144.2,0,0,0.4,0,2,0,7.4
714231,0,0,0,0.6,0,0,0,7.8,0.1
1584967,0,0,0,2.4,5.2,0,11,134,0.6
569066,0,0,0,0,0,0,0,0,15.3
688934,3,2.2,2.6,5.6,11.2,4.6,4.75,4,0.6
513808,2164.4,3188.2,68.4,117.4,43,161.6,154,184,2241.1
557138,0.2,0,0,3,0,0.2,0,0.4,2
206565,0.4,2,0.4,0.2,0.2,0,0,0,0
4422388,0.6,0.4,0,0,0.8,0,0,0,0
4451011,9.2,3.8,6.8,1.2,5.8,0,2.5,1.2,7.5
138914,0,0,0,0,0,0,0,0,0
1109251,3672.8,74.8,116.6,28.8,118.4,6.8,9.75,26,2
751973,16,1.4,5,1,3.6,0,0.25,1,0
1566691,10,17.8,23,6.2,30.6,2,0,5.6,0
2534141,9,10.4,17.4,6.8,29.2,1,0,4.2,0
961783,741.4,1086.8,1741.2,460.6,1796.6,86.6,19.75,347.2,13.4
138840,4.2,0,0,20.2,0.6,0,0,0.4,1
646549,110.8,114.6,330.6,34.4,68.2,11.6,1.5,23.6,2.7
4349788,7.2,0,0,0,0.2,0,247.25,10.2,0.1
130002,25,3,0.2,0,0,0,1,3.6,0
589597,622.8,198.6,1.8,0,0,0,1.75,475.6,3.6
410048,0,0,0,0,0,0,0,0,0
141365,6.6,1.4,2.4,2,4.2,1,0,0,0
614182,1.4,0,0.8,2,1.4,0.2,0,0,0.5
2534143,312,1.4,1.8,1857,140,240.2,375,1054.2,2153.6
4370747,0.2,0,0,0,0,0,12,0,0
821562,1.6,1.4,0,0,0,0,0.25,0.6,2.5
342096,0,0,2.6,0.4,0.2,0,0,0,0
