,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
4454153,0,0,0,0,0.2,0,0,1,0.2
177797,0,0,0,0,0.8,0,0,1,0.1
4468850,0,0,0,0,2.6,0,1.5,2.2,0
878161,0,0,0,0,0.2,0,0,0,0
250794,0,0,0,0,0,0,0,0,0
578358,0,0,0,0,0,6,0,0,0
128551,0,0,0,0,0,0,0,0,0
4001495,1.6,0,0,0,0,0,0,0,0
4420570,0,0,0,2.6,0.4,0,0,1.2,0.1
811424,0,0,0,0,0,0,0,0,1.9
100737,0,0,0,0,0,0,0,0,0
697714,0,0,0,0,0,0,0,0,0
350772,0,0,0,0,0,0,0,0,0
813557,0,0,0,0,0,0,0,0,0.2
231447,0,0,0,0,0,0,0,0,0.7
142233,0,0,0,0,0,0,0,0,0
142010,0,0,0,0,0,0,1.5,1.2,9
4379512,0,0,0,0,0,0,0,0,0.9
715800,0,0,0,0,0,0,0,0,0
4348899,0,0,0,0,0,0,0,0,0
1119609,0,0,0,0,0,0.2,0.25,0.4,0
516569,0,0,0,0.2,0.2,20,4.25,3.2,9.4
869850,0,0,0,0.2,0,2,0,0.6,0
634209,0,0,0.2,4.2,0,4.8,1.25,0,0.2
4434837,0,1.2,2.2,0,0,0,0,0.4,0.4
142471,0,3,0,0,0,2.6,0.25,0.2,0
590295,0,0,0,0,0.6,3.4,5,3.8,0
910426,0,0,0,0,3.6,32,10.75,3.6,0.2
578443,0,0,0,0,0,0,0,0,3.2
4307148,0,0,0,0,0,0,0,0,3.3
529067,0,0,0,0,0,0,0,0.2,2.7
736678,0,0,0,0,0,0,0,0,0.4
978208,0,0,0,0,0,0,0,0,1
2863,0,0,0,0,0,0,0,0,0
242145,0,0,0,0,0,0,0,0,0.1
1681404,0,0,0,0,0,0,0,0,0
1088815,0,0,0,0,0,0,0,0,0
151126,0,0,0,0,0,0,0,0.4,80.4
4413729,0,0,0,0,0.2,0,0,0.6,0
1068363,0,0,0,0,0,0,0,0,0
837640,0,0,0,0,0,0,0,0,0.1
239441,0,0,0,0,0,0,0,0,0
4481957,0,0,0,5.6,1.8,0.8,1.5,0,0.2
88221,0,0,0,0,0.2,0,0,0,0
34044,0,0,0,0,0,0,0,0,0
1001564,40,48.2,54,1,3,0.4,0,0.2,8.1
701151,0,0,0,0.4,0,0,1.75,0.2,0
355695,0,0,0,0,0,0,0,0,0
277071,0,0,0,0,0,0,0,0,0
580342,0,0,0,0,0,0,0,0,0
1129461,1.8,0,0,0,0.8,0.2,0,0,0
588755,0.2,0,0,3.8,0.2,0.6,0,0.6,0
4316928,0,0,0.8,0,0,0,7.75,0,0
331738,0,0,0,0,1.2,0,2.25,0,0
533589,0,0,0.6,4.2,0,0.2,0.75,0.6,0
720949,0,0,0,0,0,0,0,0,0
921110,0,0,0,0,0,0,0,0,0
737329,0,0.4,0,1,0,6.8,0,0,0
294254,0,0.4,1.2,0,0.4,0,0.25,0,0
317522,1,7.8,27.6,5.2,58.4,5,16.5,7,0
1100972,0,0,3,0.6,4.2,0.4,0.75,0.2,0
4468805,0,0,0,0.4,2,0,0.5,0.2,0
555860,0,163.6,78.8,6.6,112.2,26.2,29.25,10.4,7.7
586356,0,0,0,8.8,0,4.4,1.75,4.8,0.2
2052853,0,0,0,0,0,0,0,0,0
52379,0,19.4,8.4,0.8,14.8,2.2,1.75,0.8,0.3
4307974,0,0,0,1.2,2,0,0,0,0
1112364,0,0.4,0,14.6,38.8,2.2,0,0.8,0
4361407,0,0.2,0,8.6,6.6,11.6,4.5,2.6,2.1
340874,0,0,0,0,0,0,0,0,0
1883596,0,0,0,0,0,0,0,0,0
170020,0.2,67.2,131,85,98.2,72,55.75,69.2,50.3
13850,0,0,0,0,0,0,0,0,0
1015470,0,0,0,0,0,0,0,0,0
546268,0,0,0,0,0,0,0,0,0.8
4325377,0,0,0.4,0,0,0,0,0,1.5
514095,0.8,211.6,116.2,44.2,262.6,82.8,202,49.8,245.1
172753,0.4,10.4,45.8,7.2,24.4,14,16,6.4,90.2
1100798,0,0,0,0,0,0,0,0,30.3
734956,0,0,0,0,0,0,0,0,0.3
4318694,0,0.6,16.8,3,0.8,3.4,4.75,0.4,54.2
4439510,0,0.2,0.6,0,2.4,0.4,0.25,0,1.5
564961,12.2,64.6,69.4,35.4,159.2,34.2,79.25,15.8,16.4
98542,0,0,0,0,0,0,0,0,0
344422,0,0,0,0,0,0.8,0,0,0
520231,0,0,0,0,0,0,0,0,0
707653,0,0,0,0,0,0,0,0,0
585881,0,4.6,11.4,29.6,33.2,29.2,24.75,32.4,15.1
143746,0,0,0,0,0,0,0,0,1.7
148878,0,0,0,0,0,0,0,0,5.9
570344,0,0,0,0,0,0,0,0,0
322226,0,0,0,0,0,0,0,0,0.1
1108989,0,0,0,0,0,4.2,0.25,1.4,0
970359,0,0,0,13.8,0.4,168.6,5,63,2.2
212223,0,0,0,0,0,0,2.75,9.8,6.7
2679706,0,0,0,0,0,0.4,0,0.4,0.7
4417475,0,0,0.4,0,4,5,1.25,7,2.6
209577,0,0,0,0,0,0,0,0,1.4
257891,0,0,0,0,0.8,1.4,0,0.4,1.6
417101,0,0,0,0,2.8,0.2,0.75,11.8,16.5
555926,0,0,0,0,0,0,0,0,0
2720386,0,0,0,0,0,0,0,0,0.3
249034,0,0,0.8,0,0,0,4.5,0,2.5
3928395,0,0,0.6,0,1.6,1.8,0,0,0.2
548468,0.8,0.6,31,37.6,6.6,1577,27.75,45.2,0.4
4393056,0,0.6,10.8,0.2,379.8,37.8,605,561,0.2
1058844,0,0,0,0.2,6.4,0.6,10,12.2,0
4397998,0,0,2.8,0,0,1.2,5,0.4,0.5
346056,0,0,0,0,1,4.4,0.75,5.4,0.2
509021,0,0,0.6,0,0,0.2,1.5,0.4,0.1
494339,0,0.2,6.2,0.4,1.4,22.2,9.5,4.8,8.2
331282,0,0,19.6,1,4.2,3,1.75,9.6,0.5
4297698,0,1.4,0.2,0.4,7,8.8,7.75,18,0.1
586505,0,41,5.2,11.2,232,340.4,130.25,536.2,17.3
607212,0,0.6,0,0,2.6,2.8,2.25,5.2,0.5
822489,0,0,0,0,0,0,0,0.4,0.3
568130,310,141.6,27.6,3,3.4,0.6,5.5,1,0.4
543890,4.6,6.4,0.2,0.4,0.8,0,0,0,0
348478,0.2,4.8,0,0,0,0,0,0,0
17329,0,0,0,0.2,0,2.6,0.5,4,2.8
326054,0,0,0,0,0,0,0,0,0.8
334409,0,0,0,0,0,0.4,0,0.4,0.2
102915,0,1.6,0,0.2,0,0.4,0,0.6,29.4
580992,0,0,0,0,0.2,0.6,0,1.4,0
222699,0,0.8,0.2,0,0,0,0,0,0.5
354042,0,0,0,0,0,0,0,0.2,0
237613,0,0,0,0,8,243.2,98,111.6,0.1
1052559,0,0,0,0,0,0,0,0,0
133044,0,0,0,0,0,0.6,0,0,0.5
836331,0,0,0,0,0.8,2.2,0.5,21.2,1
696167,0,0,0,0,0,0,0,0,0.1
699257,0.4,0,0.2,0,0,1,0,0,0
3259009,0,0,0,0,0.2,0,0,0.4,0.2
754410,0,0,0,0,0,0,0,0.2,0
400524,0,0,0,0,0,1.4,0,0,0.1
4357324,0,0.6,8.8,0.4,3.4,18,38,42.2,24.5
589946,0,0,0,0,0,0.6,0,0,7.5
817507,0,0,0,2,0,0.2,0.25,36,0
4388385,0,0,0,1,0.4,0,0,0,0
563957,0,0,0,0,0.2,0,0.75,1,0
578761,0,0,0,0.2,1.4,0,2.75,1.2,0
843074,0,0,0,0.4,2.2,0.4,8,3.6,0
316649,0,0,0,0,0.2,0,1.75,0,0
1141071,0,0,0,0,0,0,0,0,0
407459,0,0,0,0,0.2,0.6,3.25,0.8,0
565413,0,0,0,0,0,0,0,0,0
154174,0.2,6,0.2,2.4,0,2,0,0.2,180.8
541299,0,0,3.4,0.2,2.8,5,27.75,10.8,0.5
4328978,0,0.8,0,5.8,0,0.8,3.25,6.4,0.9
1049750,0,0,0,0,0,0,0,0,1
4339358,0,0,0,0,0,0,0,0,0
227434,0,0,0,0,0,0.4,0,0.4,1
4373482,0,0.2,0.2,0.4,2.4,4.8,0,2.4,0.4
288283,0,0,3.4,4,31.2,9.2,5.25,9,1.7
998905,1.6,0,0,3,0.2,6,0,0.2,0.3
4304512,0,0,0,0,0,0,0,0,0
350938,0,0,0,0,0,0.2,0.75,0,0
346085,0,0,0,0,0,0,0,0,0
349041,0,0,0,0,1.4,0,4.75,2,0.1
323791,0,93.6,64,4.2,2,0,0,2.4,0.9
4424907,0,0,0,0,2.4,0,0,0.4,0
521073,838.2,912,110.4,42.4,51.6,13,138.75,70.4,29.1
574749,6.4,54.2,1.2,0.2,0,2.4,0,0.2,0.2
963779,0,0.8,0,0.2,0,0,0,0,0
351849,0,0.2,0,1.2,0.2,0.8,1.5,4.6,0.1
165611,0,0.4,1.4,3,2.2,1.2,1,2.4,0
4760,0,0,0,0.2,0,0,0.5,0.8,0.6
212879,0,0,0,0,0.2,0.6,0,1.6,0.1
643544,0,0,1.6,3,14.2,5,8,10.2,2.5
537664,0,0,2.4,0.8,3.2,0.6,0.5,1.4,2.5
544561,0,0,0,0,0,0,0,0,1.6
577123,0,0,0,0,0,0,0,0,2.5
4304056,0,0.6,0.4,0,0.2,0,0,0,0
5364,75.8,52.2,12.6,0.4,8.6,1.4,0.25,1.6,0.6
103410,6.4,0.4,1.2,4,2,0,0,0.6,0.4
336364,1.4,5.4,13.8,5.6,3.6,3,1.75,12.6,0.5
225279,0,0.2,0.4,1.2,0,0,0,0,0.2
750263,0,0,0,0,0.4,1.2,2.5,1.2,7.7
63558,0,0,0,0,0,0,0,0,0
4472608,0,0,0,0,0,0,0,0,0
62406,0,0,54.6,237.4,190.2,377.8,283.5,533.8,19.9
523224,0,0,0,0,0,0,0,0,1.8
573135,0,0,0,0,24.8,7.6,2,7,2.9
338517,0,0,0,0,0.2,0.4,0,0.2,1.9
4377104,0,0,0.2,0,2,0,0.25,1,0.2
567840,0,0,0,8.4,1.2,31.6,4.5,8.4,15.8
709971,0,0,0,0,0,1.4,0,0.4,1.1
676066,0,0,2.2,0,3.4,2.6,0.25,1.2,0.5
560403,0,0.4,0.2,0,0,1.4,0.25,0.2,0
4419310,0,0,0,0,0,0,0,0,1.7
221589,0,0,7,0,1.8,2,1,0,0
511627,0,0,0,0,0,0,0,0,1.9
4366206,0,0,0,0,0,0,0,0,0.6
1146390,0,0,0,0,0,0.4,0,0,1.1
347428,0,0,0,0,0.8,0,0.5,0.4,1.5
182489,0,0,0,0,0,0,0,0,4.1
269781,0,0.8,4.2,4,4.2,11.2,5,3.8,0.6
551756,0,0,0,0,0,0,0,0,1.1
527906,0.2,1.8,20.4,0.8,23,30.2,21.75,68,4.1
218772,0,0,0,0,0,0,0,0,0
208637,0,0,0,0,0,0,0,0,1.2
345333,0,0,0,0,0,0,0,0,0
934326,0,0,4.2,0.8,0.2,1.6,0,0.2,28.1
577289,0,0,0,0,0,0,0,0,0
323954,0,0,0,0,0,0,0,0.6,0.2
4368451,0,0,0,0,0,0,0,0,0
545515,0,0,0,0,0,0.2,0,0.6,0.3
552671,0,0.4,0.2,0.2,0.4,1.2,3.5,10.2,1.3
586388,0,0.2,0,0.2,0.2,0,0.5,2,12.8
632387,0,0.6,0.2,0.2,1.2,0.6,4.75,3.6,0.3
278399,0,1.2,1.4,0.6,0.8,4.2,3.25,3.6,0
549666,0,0,0,0,0,0,0,0,0
321409,0,0,0,0,6.4,3.4,1.5,1.4,0
746799,0,3.2,15,0,61.4,17.2,60,7.4,2.1
4333746,0,0,0.2,0,0,0,0,0,1.8
278225,0,0,0.6,14.2,0,1,9.75,0.4,0.3
656520,0,0,0,0,0,0,0,0,0
683891,0,0,0.8,0,112.4,98,21.25,13.2,1.3
4364412,0,0,0,0,0,0,0,0,0.7
709657,0,0,0,0,0,0.2,0,0,2.2
937999,0,0,0,0,0,0,0,0,0.2
574416,0,0,0,0,0,0,0,0,0
254401,0,0,0,0,0,0,0,0,0.2
407742,0,0,0,0,0,0,0,0,0.9
1076759,0,0,0,0.8,0.6,0,1.5,0.4,1.3
144291,0,0,0,0,15.6,27.6,0.5,5.6,0
309755,0,0,0,0,0,0,0,0,2.8
4366200,0,0,0,0,0,0,0,0,0
682355,0,0,0,0,0,0,0,0,4.1
4305126,0,60,0,0,2.2,0,1,20,11.8
553501,0,0,0,0,0,0,0,0,1.9
912160,0,0,0,7,0,0,0,0,1.6
1897510,0,0,0,0,0,0,0,0,0
1124975,0,0,0,0,0,0,0,0,0.4
1131545,0,0,0,0,0.4,0,0,0.4,1.2
824783,0,0,0,0,0,0,0,0.8,0.4
660746,0,0,0,9,2.8,4.8,0,0.2,0
226704,0,0,0,0,0,0,0,0,0
4472969,0,0,0,0,0,0,0,0,0.4
1008207,0,0,0,0,0,0,0,0,0.4
856536,0,0,0,0,0,0,2,0,0.1
565604,0,0,0,0,0,0,0.25,0,0.4
4434039,0,0,0,0,0,0,0,0,0
4480240,0,0,0,0.6,7.6,75.8,13,15.4,77.9
509881,0,0,0,0,0,0,0,0,1.6
333731,0,0,0,0,0,0,0,0,0.2
1503863,0,0,0,0,0,0,0.5,0,0
4458848,0,0,0,0,0,0,0,0,10.1
278075,0,0,1.4,0.2,8.2,12.4,2.75,0,25.9
240501,0,0,0,0,0,0,0,0.2,0
249211,0,0,0,0,0.2,7.6,0.25,4.2,0.9
4302532,0,0,0,0,51.2,0,0,3.2,0
1134737,0,0,0,0,0.4,2.8,1,0.6,0.7
1111283,0,0,0,0,0,0,0,0,9.7
541340,0,0,0,0,0,0,0,0,5.5
159038,0,1,0,0,7,11.6,20.5,2,0.2
185100,0,0,0,0,0,0,0,0,0
821602,4.2,0,0,0,0.2,0,0,0.4,0.1
388951,0,27.2,11.4,1,23.4,0.2,30.5,2.8,0.1
155859,0,0,0,0,1.2,0,0,0,0
172202,0,0.2,0,0,0,0,0,0,0
4449458,0.2,523.8,155,23.2,320,3.8,583.75,49.2,0.1
4450795,0,0.6,0,0,0.6,0,1,0,0
515265,0,2.4,0.2,0.4,2.2,0,1.5,0.4,0
4422794,0,0,0,15.8,0,0,0,0,0
4482374,0,0.4,0,0,0,0,0.75,0,0
339132,0,0,0.2,0.6,2.4,0.4,0,2,0.1
759061,4.8,94.6,152,238,564.8,540.8,66,599.2,4.2
274365,0.2,0.4,0.4,0.2,1.2,1,0,0.4,0
3944484,0.2,0.8,4.8,6,21.6,14.8,2.5,28.8,0.1
30929,0,0,4.4,30.4,7,3.2,1.75,0,6
513078,2205.2,1185.8,785.6,2936.4,1994.2,1389.8,2438.75,175,164.8
542725,0,0,1,12.6,0,0,1.25,0,0.3
213522,4,3.6,1.2,7.8,7.4,5.2,4,0.6,0
4456892,1,2.2,0.8,0.8,2.6,1.8,3.25,0.2,0.1
4360511,45.4,30.6,22.6,74.2,63.6,31,123.75,8,6.5
4331183,2.4,2,0.4,5.2,4.2,3.6,3.75,0.2,0.2
569459,0.4,0.2,0.2,0.2,0,0,0,0,0
